Date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2009-06-12,4.891786098480225,50.400001525878906,25.15999984741211,51.439998626708984,37.72999954223633,10.399999618530273,19.90999984741211,72.66999816894531,25.059999465942383,,145.63999938964844,24.149999618530273,33.75881576538086,103.45124053955078,16.309999465942383,56.060001373291016,35.130001068115234,24.44499969482422,58.36000061035156,61.0,24.885496139526367,23.329999923706055,14.15250015258789,52.54999923706055,43.20000076293945,24.209999084472656,16.09000015258789,28.0616397857666,31.18000030517578,49.84000015258789
2009-06-15,4.86035680770874,49.439998626708984,25.229999542236328,49.52000045776367,36.119998931884766,10.157500267028809,19.360000610351562,71.08000183105469,24.25,,143.00999450683594,23.850000381469727,32.338294982910156,102.88719177246094,15.979999542236328,54.75,34.0,24.05500030517578,57.779998779296875,59.310001373291016,23.81679344177246,23.420000076293945,13.984999656677246,51.33000183105469,42.560001373291016,23.510000228881836,16.107500076293945,27.883440017700195,30.469999313354492,48.459999084472656
2009-06-16,4.869643211364746,51.209999084472656,24.690000534057617,48.83000183105469,35.560001373291016,9.989999771118164,19.079999923706055,69.87999725341797,23.489999771118164,,144.16000366210938,23.200000762939453,31.613733291625977,102.60037994384766,15.859999656677246,54.619998931884766,33.5,23.915000915527344,57.06999969482422,58.40999984741211,23.31106948852539,23.450000762939453,13.832500457763672,50.099998474121094,42.369998931884766,24.020000457763672,15.614999771118164,27.70524024963379,30.389999389648438,48.25
2009-06-17,4.8421430587768555,52.810001373291016,23.950000762939453,48.54999923706055,34.79999923706055,10.125,19.200000762939453,68.83000183105469,23.68000030517578,,139.72999572753906,23.649999618530273,31.251453399658203,102.2944564819336,16.139999389648438,55.20000076293945,32.72999954223633,23.96500015258789,57.369998931884766,59.040000915527344,23.635496139526367,23.68000030517578,13.657500267028809,50.0099983215332,42.5099983215332,24.020000457763672,15.337499618530273,27.930334091186523,30.700000762939453,48.560001373291016
2009-06-18,4.8528571128845215,53.029998779296875,24.100000381469727,48.959999084472656,34.08000183105469,10.039999961853027,18.989999771118164,68.43000030517578,23.719999313354492,,143.08999633789062,23.350000381469727,31.442127227783203,101.65392303466797,15.869999885559082,55.790000915527344,34.16999816894531,24.774999618530273,58.15999984741211,59.310001373291016,24.475191116333008,23.5,14.074999809265137,51.16999816894531,42.529998779296875,25.450000762939453,15.352499961853027,28.221080780029297,31.719999313354492,48.68000030517578
2009-06-19,4.981429100036621,52.34000015258789,24.639999389648438,48.439998626708984,33.650001525878906,9.977499961853027,18.920000076293945,68.05999755859375,23.530000686645508,,143.1300048828125,23.520000457763672,31.280054092407227,101.23326873779297,16.010000228881836,56.09000015258789,35.0,24.405000686645508,58.16999816894531,59.369998931884766,24.723281860351562,24.06999969482422,14.175000190734863,50.63999938964844,42.08000183105469,25.43000030517578,15.342499732971191,27.817787170410156,31.43000030517578,48.16999816894531
2009-06-22,4.906071186065674,50.9900016784668,23.229999542236328,46.900001525878906,32.36000061035156,9.324999809265137,18.40999984741211,65.76000213623047,22.65999984741211,,137.00999450683594,23.25,30.107410430908203,99.92351531982422,15.680000305175781,55.4900016784668,32.869998931884766,23.9950008392334,57.20000076293945,57.470001220703125,24.026718139648438,23.280000686645508,13.8149995803833,50.560001373291016,41.060001373291016,24.559999465942383,15.3100004196167,28.155427932739258,29.639999389648438,48.59000015258789
2009-06-23,4.786070823669434,51.13999938964844,23.389999389648438,43.869998931884766,33.0,9.452500343322754,18.56999969482422,65.95999908447266,22.8799991607666,,141.19000244140625,22.8799991607666,29.96440315246582,99.84703826904297,15.8100004196167,55.0099983215332,33.56999969482422,23.899999618530273,56.7599983215332,57.060001373291016,23.959924697875977,23.34000015258789,13.385000228881836,50.54999923706055,41.0,24.540000915527344,15.667499542236328,28.624372482299805,29.649999618530273,48.349998474121094
2009-06-24,4.864999771118164,51.0099983215332,22.93000030517578,41.31999969482422,33.400001525878906,9.8100004196167,18.610000610351562,65.72000122070312,22.899999618530273,,142.64999389648438,22.68000030517578,29.59259033203125,99.56979370117188,16.100000381469727,55.459999084472656,33.459999084472656,23.75,56.29999923706055,57.47999954223633,24.284351348876953,23.469999313354492,13.255000114440918,50.54999923706055,40.7599983215332,24.809999465942383,15.272500038146973,28.886980056762695,30.0,48.5099983215332
2009-06-25,4.994999885559082,51.91999816894531,24.440000534057617,42.529998779296875,34.4900016784668,9.944999694824219,19.030000686645508,66.87000274658203,23.549999237060547,,144.42999267578125,23.56999969482422,30.364818572998047,101.39579010009766,16.309999465942383,56.27000045776367,34.13999938964844,23.924999237060547,57.459999084472656,58.900001525878906,25.353052139282227,23.790000915527344,12.819999694824219,51.68000030517578,40.90999984741211,24.989999771118164,15.487500190734863,29.15896987915039,30.0,49.150001525878906
